,open,close,high,low,volume,money
2013-03-13,2551.73,2527.49,2556.77,2515.06,5643046000.0,56003723639.0
2013-03-14,2517.74,2534.27,2546.7,2514.46,4760575600.0,49929775447.0
2013-03-15,2533.72,2539.87,2600.09,2504.46,8137218500.0,82749877355.0
2013-03-18,2526.08,2502.49,2544.62,2499.83,5981277800.0,63093556699.0
2013-03-19,2507.4,2525.1,2532.07,2491.85,5453647600.0,55601011985.0
2013-03-20,2526.97,2610.17,2610.17,2526.83,9070062200.0,91271022200.0
2013-03-21,2611.58,2614.99,2626.54,2598.51,6955275600.0,71642665537.0
2013-03-22,2612.26,2618.31,2625.53,2603.34,5564714100.0,55882142445.0
2013-03-25,2628.41,2613.1,2641.61,2607.61,5626140200.0,58004930851.0
2013-03-26,2601.96,2575.05,2607.36,2554.97,6396296100.0,65306571624.0
2013-03-27,2575.73,2583.53,2611.94,2566.34,5690651700.0,58652246310.0
2013-03-28,2535.99,2499.3,2535.99,2495.08,8757840500.0,84725899121.0
2013-03-29,2502.78,2495.08,2509.11,2482.49,5240213700.0,52055540480.0
2013-04-01,2486.43,2493.19,2507.82,2483.73,4734602200.0,47159820558.0
2013-04-02,2495.84,2486.39,2524.46,2475.0,5568415200.0,55637391748.0
2013-04-03,2493.88,2483.55,2507.14,2474.93,4556422100.0,45156719409.0
2013-04-08,2443.24,2472.3,2473.31,2429.5,5329677200.0,55249297714.0
2013-04-09,2477.29,2489.43,2505.29,2477.29,5238982400.0,54947035592.0
2013-04-10,2487.98,2485.31,2495.57,2466.19,4750491300.0,51963820632.0
2013-04-11,2502.5,2477.88,2508.59,2476.4,4298995800.0,43039949368.0
2013-04-12,2476.32,2462.11,2489.12,2460.18,3991727800.0,40428047827.0
2013-04-15,2453.97,2436.82,2461.67,2430.15,4653973400.0,44084843341.0
2013-04-16,2419.51,2459.59,2461.05,2416.62,5528061300.0,53783255198.0
2013-04-17,2457.88,2458.47,2465.2,2437.34,4469216400.0,46800831850.0
2013-04-18,2440.71,2464.85,2478.41,2434.73,4286070700.0,46270137159.0
2013-04-19,2469.95,2533.83,2542.45,2469.32,7552087600.0,76723675264.0
2013-04-22,2525.11,2530.67,2539.05,2518.26,6251188300.0,63027024091.0
2013-04-23,2532.2,2449.47,2532.2,2448.2,6065398200.0,61576157889.0
2013-04-24,2452.78,2495.58,2511.2,2446.59,6305091600.0,62189421706.0
2013-04-25,2486.86,2467.88,2505.48,2456.57,6055792700.0,59891284466.0
2013-04-26,2477.72,2447.31,2488.59,2439.8,4712337800.0,46351986661.0
2013-05-02,2434.6,2449.64,2453.75,2423.08,4701608800.0,47200448204.0
2013-05-03,2457.54,2492.91,2521.12,2457.54,6233009100.0,63267042656.0
2013-05-06,2502.98,2525.98,2533.86,2500.45,6041878000.0,61767951099.0
2013-05-07,2519.36,2529.94,2539.3,2507.76,5449064300.0,59244949469.0
2013-05-08,2542.27,2542.8,2562.01,2531.25,5955429400.0,60309148841.0
2013-05-09,2542.37,2527.79,2543.3,2507.79,6024014500.0,64438292561.0
2013-05-10,2519.52,2540.84,2546.97,2515.16,4881672800.0,50896689221.0
2013-05-13,2542.41,2530.77,2547.6,2516.73,5409214700.0,55155093224.0
2013-05-14,2526.0,2493.34,2526.14,2479.87,5488006400.0,56144573527.0
2013-05-15,2493.97,2506.93,2507.43,2491.93,4418966000.0,47578585624.0
2013-05-16,2501.12,2552.71,2553.06,2487.76,7079618200.0,76830436307.0
2013-05-17,2550.45,2592.05,2598.71,2547.78,8185080100.0,83599367908.0
2013-05-20,2597.15,2609.61,2627.62,2590.05,8633780300.0,94059415836.0
2013-05-21,2607.39,2614.85,2617.4,2594.25,7150599400.0,75837813846.0
2013-05-22,2613.41,2618.03,2630.07,2603.75,7419181700.0,78224126421.0
2013-05-23,2604.93,2582.85,2624.08,2579.35,8482537000.0,81359908175.0
2013-05-24,2591.42,2597.23,2608.35,2572.88,6073966900.0,62831235051.0
2013-05-27,2593.52,2599.59,2611.97,2589.74,6419508000.0,66701652802.0
2013-05-28,2600.63,2644.36,2644.36,2585.9,8419611200.0,86756736777.0
2013-05-29,2648.93,2642.56,2661.23,2640.88,7927770900.0,81953853231.0
2013-05-30,2633.95,2634.32,2647.44,2623.58,7014636800.0,71045065872.0
2013-05-31,2638.71,2606.43,2645.57,2604.75,6252853300.0,65904433688.0
2013-06-03,2605.97,2602.62,2625.94,2596.05,5977446800.0,63008705172.0
2013-06-04,2600.5,2565.67,2600.5,2556.06,6631575000.0,63139420045.0
2013-06-05,2565.33,2560.54,2570.03,2545.19,4563719300.0,47367057838.0
2013-06-06,2552.82,2527.84,2557.68,2525.31,5249652900.0,54448113429.0
2013-06-07,2526.91,2484.16,2538.89,2475.69,6103089400.0,61366173745.0
2013-06-13,2448.72,2399.94,2448.72,2375.2,6973006600.0,64081598112.0
2013-06-14,2404.42,2416.77,2420.36,2396.49,5596453400.0,53686779328.0
2013-06-17,2422.76,2403.84,2427.53,2394.39,5039571100.0,51983757469.0
2013-06-18,2413.09,2418.74,2424.2,2393.32,4863037900.0,48792090467.0
2013-06-19,2408.28,2400.76,2408.28,2366.35,5434626000.0,52979991053.0
2013-06-20,2386.1,2321.47,2386.1,2320.23,5520102000.0,52171735063.0
2013-06-21,2283.15,2317.39,2332.84,2269.57,5870579800.0,53486132980.0
2013-06-24,2308.07,2171.21,2308.07,2164.32,8659725900.0,73731930536.0
2013-06-25,2146.05,2165.42,2169.21,2023.17,10755488200.0,87090393952.0
2013-06-26,2170.33,2168.3,2181.02,2131.86,7925642600.0,67298430249.0
2013-06-27,2172.85,2160.74,2200.21,2153.18,7540675300.0,62927082416.0
2013-06-28,2149.03,2200.64,2227.46,2139.37,7945132700.0,64106048718.0
2013-07-01,2187.09,2213.32,2213.97,2166.35,5772622700.0,51874735216.0
2013-07-02,2211.8,2221.98,2226.11,2191.8,6183885000.0,59632902046.0
2013-07-03,2211.04,2203.83,2211.04,2169.14,6583602200.0,59536760190.0
2013-07-04,2187.18,2221.98,2245.91,2176.08,7258114500.0,67189379203.0
2013-07-05,2227.35,2226.85,2252.03,2225.05,6182177500.0,58424400611.0
2013-07-08,2194.42,2163.62,2205.21,2162.19,5478249300.0,49288252039.0
2013-07-09,2160.7,2162.67,2174.79,2149.79,4149443300.0,37246189870.0
2013-07-10,2163.1,2224.07,2224.14,2157.47,6114978100.0,54373757823.0
2013-07-11,2232.16,2326.69,2351.22,2232.16,12579319200.0,111329812773.0
2013-07-12,2319.02,2275.37,2331.99,2274.07,8973308200.0,82064555657.0
2013-07-15,2289.76,2307.3,2336.04,2274.67,7475788400.0,71796189674.0
2013-07-16,2300.83,2317.85,2317.85,2281.94,6562415700.0,62085631916.0
2013-07-17,2311.44,2282.84,2326.93,2281.61,6765524800.0,63229061677.0
2013-07-18,2272.95,2245.33,2282.43,2241.93,5714429200.0,51937235147.0
2013-07-19,2248.13,2190.48,2257.92,2188.75,7053528200.0,66179072656.0
2013-07-22,2170.09,2202.19,2203.06,2159.81,5328349500.0,48872947253.0
2013-07-23,2211.59,2265.84,2276.74,2206.76,7480973100.0,69255423111.0
2013-07-24,2253.38,2249.15,2265.58,2217.19,6959230700.0,69279825849.0
2013-07-25,2255.22,2237.68,2268.84,2227.85,6577431600.0,60558362762.0
2013-07-26,2226.43,2224.01,2238.42,2209.81,4894109800.0,45636069902.0
2013-07-29,2205.08,2175.97,2205.08,2169.02,5460092500.0,49624613440.0
2013-07-30,2184.01,2189.39,2221.59,2162.98,5519362300.0,50907227289.0
2013-07-31,2211.75,2193.02,2235.38,2187.21,4832705500.0,46723493389.0
2013-08-01,2206.0,2245.36,2245.56,2200.63,6260399700.0,58944765673.0
2013-08-02,2263.49,2247.26,2274.71,2244.25,6089089300.0,58459999450.0
